"","Band","year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","PlasMassTOT","Mass"
"129","162-83920",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1066,815
"130","162-83921",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9604,765
"131","162-83922",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,452
"132","162-83923",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3761,520
"133","162-83924",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0316,625
"134","162-83929",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,670
"135","162-83931",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,765
"136","162-83932",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,420
"137","162-83933",2017,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,560
"138","162-83934",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0079,465
"139","162-83936",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,550
"140","162-83937",2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,630
"141","162-87041",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0853,745
"142","162-87042",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1e-04,640
"143","162-87044",2016,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.04,815
"144","162-87045",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,680
"145","162-87046",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,680
"146","162-87047",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.085,785
"147","162-87048",2016,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,760
"148","162-87049",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,605
"149","162-87050",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,605
"150","162-87051",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,685
"151","162-87053",2016,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.497,560
"152","162-87054",2016,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,560
"153","162-87055",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,450
"154","162-87056",2016,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,690
"155","162-87057",2016,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0.0062,650
"156","162-87058",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0957,650
"157","162-87059",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.9833,725
"158","162-87060",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.914,730
"159","162-87061",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,555
"160","162-87062",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,730
"161","162-87063",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0133,690
"162","162-87064",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4826,780
"163","162-87065",2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.02,725
